# KickKey English dictionary
# Format: word	frequency
the	23135851162
be	13650487260
to	13000321560
of	12545039451
and	10741073817
a	10000000000
in	9000000000
that	8000000000
have	7000000000
it	6000000000
for	6000000000
not	5000000000
on	5000000000
with	5000000000
he	5000000000
as	4000000000
you	4000000000
do	4000000000
at	4000000000
this	4000000000
but	4000000000
his	3000000000
by	3000000000
from	3000000000
they	3000000000
we	3000000000
say	3000000000
her	3000000000
she	3000000000
or	3000000000
an	3000000000
will	3000000000
my	3000000000
one	3000000000
all	3000000000
would	3000000000
there	3000000000
their	3000000000
what	3000000000
so	2800000000
up	2700000000
out	2600000000
if	2500000000
about	2500000000
who	2400000000
get	2300000000
which	2200000000
go	2200000000
me	2100000000
when	2000000000
make	2000000000
can	2000000000
like	1900000000
time	1900000000
no	1900000000
just	1800000000
him	1800000000
know	1800000000
take	1700000000
people	1700000000
into	1700000000
year	1600000000
your	1600000000
good	1600000000
some	1600000000
could	1500000000
them	1500000000
see	1500000000
other	1400000000
than	1400000000
then	1400000000
now	1400000000
look	1300000000
only	1300000000
come	1300000000
its	1300000000
over	1200000000
think	1200000000
also	1200000000
back	1200000000
after	1100000000
use	1100000000
two	1100000000
how	1100000000
our	1100000000
work	1000000000
first	1000000000
well	1000000000
way	1000000000
even	900000000
new	900000000
want	900000000
because	900000000
any	900000000
these	800000000
give	800000000
day	800000000
most	800000000
us	800000000
great	750000000
between	750000000
need	750000000
large	700000000
often	700000000
hand	700000000
high	700000000
place	700000000
hold	650000000
down	650000000
side	650000000
without	650000000
boy	600000000
girl	600000000
again	600000000
never	600000000
life	600000000
few	600000000
north	580000000
south	580000000
east	580000000
west	580000000
open	560000000
seem	560000000
together	560000000
next	560000000
white	560000000
children	550000000
begin	550000000
got	550000000
walk	540000000
example	540000000
ease	530000000
paper	530000000
always	530000000
music	520000000
those	520000000
both	520000000
mark	520000000
book	500000000
letter	500000000
until	500000000
mile	500000000
river	500000000
car	500000000
feet	490000000
care	490000000
second	490000000
enough	490000000
plain	480000000
girl	480000000
usual	470000000
young	470000000
ready	460000000
above	460000000
ever	460000000
red	450000000
list	450000000
